year,emissions_kg_per_s,region,MtCO2_per_year
1925,13969.417783719628,china,440.5395592273822
1926,14705.380333161409,china,463.7488741865782
1927,13804.716014154212,china,435.34552422236726
1928,15420.158682909983,china,486.2901242242492
1929,15211.349684086834,china,479.70512363736236
1930,14950.902571384935,china,471.4916634911953
1931,14029.069275895497,china,442.4207286846404
1932,14622.875366471288,china,461.1469975570385
1933,14646.92816909238,china,461.9055267404973
1934,14552.24138710106,china,458.919484383619
1935,14076.614402706326,china,443.9201118037467
1936,15781.407700590731,china,497.68247324582927
1937,15355.963924033926,china,484.26567830833386
1938,15357.346330353064,china,484.3092738740142
1939,15668.449225641014,china,494.120214779815
1940,15815.130466156043,china,498.74595438069696
1941,14785.193339775282,china,466.26585716315327
1942,15987.524401292665,china,504.18256951916544
1943,14890.792214147956,china,469.5960232653699
1944,15717.265703103418,china,495.6596912130694
1945,16240.590649284446,china,512.1632667158343
1946,15816.842884247075,china,498.7999571976157
1947,15414.23422860619,china,486.10329063332483
1948,15665.492326187392,china,494.02696599864555
1949,15141.527633714883,china,477.5032154568325
1950,15006.890274845025,china,473.2572917075127
1951,16594.76757233588,china,523.3325901611843
1952,18456.915309752865,china,582.0572812083664
1953,17830.980230651243,china,562.3177925538176
1954,17773.417186874958,china,560.5024844052887
1955,19136.380566586497,china,603.4848975478717
1956,19663.110798191407,china,620.0958621317642
1957,18998.831845594483,china,599.1471610826676
1958,20440.952104439788,china,644.6258655656131
1959,19926.672187769553,china,628.4075341135006
1960,21927.31318451601,china,691.4997485868969
1961,18651.200669730617,china,588.1842643206247
1962,19958.549676611754,china,629.4128226016282
1963,19065.71095333542,china,601.2562606243857
1964,19901.34354280157,china,627.6087699657903
1965,19836.7731907971,china,625.5724793449773
